C1
75.3
36.1
59.5
19.4
98.6
14.8
45.9
87.6
54.9
28.9
42.7
33.8
25.7
12.8
95.4
23.4
52
95.1
62.3
74.8
85.2
52.4
32.2
17.5
65.1
35.8
132.6
84.1
